words	cates	weights	nums
险些	d	8	5.29
23	m	150	61.15
争夺	vn	18	25.79
周密	ad	13	9.05
可行	a	5	3.56
防患于未然	vl	11	15.59
小子	n	11	8.88
绝望	a	24	17.33
狭小	a	27	15.59
白衣	n	4	4.08
柔软	an	15	8.56
口令	n	10	13.99
金钱豹	n	14	11.66
心酸	a	15	8.42
琐碎	a	6	4.96
阅卷	vi	23	29
闪闪	z	32	6.92
肾	n	49	17.34
5G	n	299	89.8
210	m	15	8.95
随	v	98	33.41
免	v	188	34.56
研讨会	n	24	35.62
岳	n	44	6.7
角逐	vn	10	12.85
影子	n	14	19.26
欢聚	vi	7	7.23
过量	vd	16	20.81
好奇	a	58	33.51
开征	v	2	2.43
大头	n	13	11.6
三好	n	6	8.83
枯燥	a	17	11.47
乡音	n	9	12.89
滴水	n	5	7.23
协力	v	2	2.43
仙女	n	8	8.83
翻车	vi	5	7.54
讯息	n	4	5.63
教课	vi	18	16.64
隐没	vi	3	4.03
攻无不克	vl	2	2.43
竹篮	n	6	9.14
百战百胜	vl	2	2.43
瓦工	n	5	4.03
翅果	n	3	4.03
急救法	n	8	12.03
肯	v	44	18.07
粥	n	31	9.22
劲	n	37	13.17
囊	ng	9	3.58
男士	n	29	29.24
10日	t	74	11.13
新鲜事	n	10	15.75
扫荡	v	10	15.28
告状	vi	12	18.4
变脸	vi	10	14.74
帮手	n	11	15.84
白衣天使	n	6	12
毒瘤	n	7	13.11
顶梁柱	n	6	11.2
速成	vi	2	4
搬运工	n	3	5.6
撩拨	v	2	4
神医	n	2	4.8
托儿	n	4	8
双刃剑	n	11	16.11
头彩	n	1	2.4
闯关东	vi	2	4
探照灯	n	6	10.71
无名氏	n	4	7.36
心机	n	1	2.4
天下太平	vl	1	2.4
扫雷器	n	1	2.4
老交情	n	1	2.4
速成班	n	1	2.4
火葬场	n	4	7.51
大扫除	v	4	7.51
安睡	v	3	5.6
非典	nz	4	7.2
黑户	n	4	6.15
姜伟树	nr	9	2.36
223	m	21	10.32
7.5	m	10	6.48
1月3日	m	8	7.59
15%	m	36	27.54
227	m	3	2.27
199	m	17	8.59
寺	ng	120	29.1
顺风	vi	45	22.86
2020年	t	71	12.58
成华	ns	6	2.21
kTV	n	18	12.01
后方	s	37	13.2
饮	v	15	6.18
22	m	184	66.27
拾陆	m	13	2.18
重申	v	12	18.31
计划生育	nl	74	64.67
团长	n	15	20.1
实效	n	56	68.16
门路	n	12	18.46
大厦	n	51	54.88
医疗队	n	8	10.7
纪实	n	4	5.35
根据地	n	34	39.26
紧迫感	n	12	18.15
名城	n	17	16.02
测算	v	44	57.75
有幸	v	9	12.34
突破性	n	16	24.16
体质	n	52	55.11
世界性	n	7	10.15
修正案	n	24	24.43
缩影	n	41	39.62
征税	vi	8	10.7
名声	n	17	23.2
黄土	n	31	42.33
注定	v	14	19.75
获奖者	n	8	9.14
党籍	n	35	31.25
看中	v	27	34.12
减人	v	2	2.15
心境	n	8	8.06
禁令	n	48	51.69
好比	v	9	13.51
防灾	vn	35	31.45
奉命	vd	7	10.46
参赛队	n	3	3.75
眼科	n	40	42.35
监制	vi	9	13.35
档案馆	n	17	12.96
政治处	n	9	11.25
开水	n	17	26.01
出乎	v	8	11.75
鼓动	vn	9	11.75
难处	n	12	15.17
盖房	v	5	6.95
液体	n	43	49.36
社会性	n	4	5.35
环保局	n	28	30.29
乡情	n	2	2.15
处以	v	36	44.98
静态	n	19	25.73
成问题	vl	7	10.15
误差	n	23	34.86
发觉	v	19	25.22
外行	n	7	11.81
开道	vi	16	16.64
陵园	n	116	84.94
部党组	n	26	21.79
人声鼎沸	vl	3	3.75
起居	n	21	26.69
依恋	v	3	3.75
激素	n	42	35.24
示意图	n	4	5.66
银河	n	24	24.13
奥斯卡	nz	20	23.7
感化	v	11	15.29
长大成人	vl	6	8.55
热带雨林	n	14	18.52
顶替	v	7	7.5
北极	n	6	7.57
作协	n	9	8.69
色素	n	13	10.08
窟窿	n	11	19.11
条纹	n	4	5.35
自由主义	nl	4	5.35
提名奖	n	5	7.26
强光	n	3	3.75
红豆杉	n	9	10.71
笑谈	n	5	6.18
音调	n	3	3.75
摇摇	v	4	5.35
跃然纸上	vl	5	6.95
客运员	n	2	2.15
巡视员	n	25	27.7
记者席	n	2	2.15
阻隔	v	8	12.06
钙化	vn	4	5.35
新鲜度	n	3	3.75
扭动	v	3	3.75
毒物	n	9	12.92
抢夺	v	20	30.63
园长	n	48	50.26
联村	v	3	3.75
残垣断壁	nl	5	3.75
惯用	v	10	13.35
作业本	n	6	8.55
认定书	n	12	10.56
电筒	n	5	6.95
北极点	n	2	2.15
月台	n	4	3.75
豆浆	n	9	10.02
狙击	v	4	5.66
插口	n	2	2.15
复学	vi	4	4.3
调委会	n	2	2.15
诊断书	n	3	3.75
葡萄糖	n	9	13.66
低烧	n	5	6.95
爱妻	n	4	4.3
联控	v	12	14.72
挥发性	n	22	18.64
体貌	n	14	17.61
消耗热	n	2	2.15
复诊	v	9	10.71
娘子	n	6	5.35
峨嵋	n	2	2.15
藤子	n	2	2.15
力矩	n	2	2.15
寄宿生	n	2	2.15
25	m	303	92.16
93	m	19	8.38
亡	vg	16	8.97
增长点	n	18	23.01
洋溢	v	13	18.42
调查组	n	216	160.5
实业	n	36	33.24
羽绒服	n	14	19.04
款式	n	30	33.26
一家一户	nl	9	12.51
lionel	nz	3	2.11
炒菜	vi	6	6.91
住宿费	n	9	10.66
囊肿	n	14	12.5
多谢	v	3	2.11
剃	v	16	5
mDT	n	6	4.69
188	m	4	4.22
157	m	13	7.44
166	m	2	2.11
12%	m	10	10.4
870	m	2	2.11
第6	m	8	6.97
98%	m	18	14.57
第7	m	10	7.49
1.6	m	8	8.41
18%	m	14	13.32
250	m	15	14.44
150	m	115	85.85
28%	m	7	5.72
211	m	7	6.95
264	m	2	2.11
仙	ng	50	10.66
宰	v	14	3.27
74	m	20	11.72
亲手	d	14	7.36
顾宏华	nr	13	2.08
曲	ng	36	16.01
蛋	n	59	18.13
沉	v	54	14.88
恐怕	d	44	22.17
一手	d	27	14.21
分批	d	13	6.93
51	m	35	16.41
13%	m	25	13.72
3亿	m	31	18.69
140	m	35	28.55
精密	a	23	13.39
十年如一日	al	6	2
届时	d	45	17.58
更是	d	7	4.78
接连	d	53	30.01
频频	d	34	20.4
恰恰	d	17	9.21
未必	d	18	10.78
一心	d	10	5.42
私下	d	29	14.55
急忙	d	15	10.14
赶忙	d	5	3.38
理所应当	dl	5	3.38
并不	d	3	1.98
46	m	64	28.53
浓郁	a	9	5.54
狭窄	a	41	25.13
压力锅	n	6	1.96
章	n	73	20.7
麻	n	88	19.87
一不小心	dl	4	3.35
远方	s	13	5.18
浙江	ns	272	33.65
涂凤仙	nr	9	1.93
惊险	a	20	12.69
属实	an	54	42.08
华丽	a	14	8.13
vOLTE	n	1	1.92
marc	n	1	1.92
guijt	n	1	1.92
mK0163	n	1	1.92
guangzhoudaily	n	1	1.92
hydrologyand	n	1	1.92
hESS	n	1	1.92
a1M1Z1	n	1	1.92
nRDRS	n	1	1.92
cA4175	n	2	1.92
ipad3	n	1	1.92
u30003	n	3	5.76
bRT1	n	1	1.92
tOP5	n	1	1.92
u30002	n	1	1.92
fries	n	1	1.92
instagram	n	2	3.84
a82RU5	n	3	5.76
cA983	n	4	7.68
hNHY	n	1	1.92
gqtzy2014	n	3	5.76
siri	n	2	3.84
eICU	n	1	1.92
konrad	n	1	1.92
lorenz	n	1	1.92
darla	n	1	1.92
hiroshi	n	1	1.92
nittono	n	1	1.92
lindstrom	n	1	1.92
buyology	n	1	1.92
laibson	n	1	1.92
tEDS	n	1	1.92
mU5476	n	2	1.92
pfizer	n	1	1.92
upjohn	n	1	1.92
luft	n	1	1.92
ingham	n	1	1.92
oFweek	n	1	1.92
mERS	n	1	1.92
2001:00:00	m	2	1.92
2040	m	2	1.92
4680	m	1	1.92
167万	m	2	3.84
63万	m	2	3.84
9.27亿	m	1	1.92
3.07亿	m	1	1.92
3.18亿	m	1	1.92
25.41	m	1	1.92
98.62	m	1	1.92
760.6万	m	1	1.92
264.4万	m	1	1.92
34.80%	m	1	1.92
时尚元素	ntss	2	3.84
83303	m	1	1.92
语毕	nr2	1	1.92
8:00B.2	n	2	3.84
16：00C.2	n	2	3.84
8：00D.2	n	2	3.84
16：002.	m	2	3.84
70°	m	1	1.92
安卓	nz	7	12.6
29.8亿	m	5	6.43
7.40%	m	10	19.2
24.6亿	m	2	3.84
467万	m	1	1.92
152.8亿	m	1	1.92
11.4万	m	6	9.6
79.30%	m	5	7.68
11.80%	m	6	8.26
10.20%	m	7	11.52
10.80%	m	6	11.52
12.10%	m	2	3.84
豫龙	nr2	1	1.92
四万	m	4	7.68
化腾	nr2	1	1.92
两两一	m	2	3.84
上几百	m	5	9.6
35.28	m	1	1.92
81.12	m	1	1.92
宣图	nr2	1	1.92
400万	m	25	36.73
5.5kg	n	1	1.92
12614	m	1	1.92
3178	m	2	1.92
49.90%	m	2	3.84
卫健	nr2	4	4.89
4238	m	3	5.76
8:00	m	2	3.84
16:30	m	3	6.13
6458	m	1	1.92
第二十六	m	3	5.76
小敏	nr2	1	1.92
二十五	m	4	7.68
182万	m	4	7.68
166.5万	m	1	1.92
26.05万	m	1	1.92
18.3万	m	1	1.92
15.9万	m	2	3.84
9.4万	m	5	9.6
6.52万	m	1	1.92
6.18万	m	1	1.92
4.76万	m	1	1.92
3.87万	m	1	1.92
3.68万	m	1	1.92
2.96万	m	1	1.92
7310.9万	m	1	1.92
411.3万	m	1	1.92
12306	m	17	20.82
3172	m	1	1.92
芜存	nr2	1	1.92
第五十四	m	2	3.84
第五十七	m	2	3.84
117544	m	1	1.92
伍万	m	1	1.92
88300	m	1	1.92
85600	m	1	1.92
10100	m	1	1.92
17100	m	1	1.92
零二	m	3	3.84
零四	m	4	7.68
零六	m	18	15.36
4460	m	1	1.92
4810	m	1	1.92
4300	m	6	11.52
1302	m	1	1.92
0.65‰	m	1	1.92
23.5万	m	2	3.84
1024	m	5	7.1
87.06%	m	1	1.92
22.88%	m	1	1.92
35.11%	m	1	1.92
229.95万	m	1	1.92
6.94万	m	1	1.92
8.50%	m	3	6.13
73817	m	1	1.92
86.60%	m	2	3.84
700万	m	10	17.99
华西都市报	ntsc	61	59.7
39.9	m	2	3.84
13.9	m	3	5.76
11.9	m	1	1.92
八九十	m	15	17.28
1999-2007	m	1	1.92
85.42	m	1	1.92
2484	m	1	1.92
2491.4	m	1	1.92
12.6	m	2	3.84
1971-2018	m	1	1.92
0.32	m	2	3.84
1.37	m	1	1.92
第61	m	2	3.84
2600	m	13	22.23
三亿	m	1	1.92
500亿	m	4	7.68
4172	m	1	1.92
靖军	nr2	1	1.92
第二百七十九	m	1	1.92
第二百八十	m	2	3.84
第六十九	m	3	3.84
第六十一	m	2	3.84
第五十二	m	3	5.76
第五十三	m	2	3.84
第六十四	m	2	3.84
荣华	nr2	1	1.92
6853.5	m	3	1.92
五百	m	13	25.7
2015	m	14	23.78
1189.5	m	1	1.92
236822613	m	1	1.92
永奇	nr2	1	1.92
398万	m	1	1.92
七八十万	m	2	3.84
12.5	m	4	7.68
5165	m	1	1.92
瑞瑞	nr2	4	6.43
国弘	nr2	1	1.92
2004	m	2	3.84
1.27	m	1	1.92
1×2.5cm	n	1	1.92
3948万	m	2	3.84
21.10%	m	3	5.76
92.30%	m	3	5.76
3760万	m	1	1.92
160万	m	7	13.81
76万	m	1	1.92
37万	m	7	13.81
36万	m	7	13.63
雪乡	nr2	1	1.92
几十亿	m	2	3.84
3.7亿	m	2	3.84
第一零	m	1	1.92
几百万	m	18	34.2
600万	m	12	22.49
56千	m	1	1.92
2.27	m	2	3.84
200亿	m	8	15.73
4.7亿	m	3	5.76
570亿	m	1	1.92
13.6亿	m	1	1.92
蕴冰	nr2	1	1.92
1300万	m	9	16.44
1312.95万	m	1	1.92
招生考试报	ntsc	1	1.92
十四五	m	3	5.76
第三十七	m	2	3.84
金婧	nr2	1	1.92
水林	nr2	1	1.92
公共汽车	njtgj	5	9.6
永存	nr2	1	1.92
20-25	m	2	3.84
2:55	m	2	3.84
第二十九	m	2	3.84
第二十七	m	12	13.35
现明	nr2	1	1.92
翰村	nr2	1	1.92
明翰	nr2	1	1.92
国军	nr2	1	1.92
第16	m	5	9.97
牧云	nr2	1	1.92
15.8万	m	5	8.39
15.81万	m	1	1.92
官微	nr2	1	1.92
应陶	nr2	3	5.76
70万	m	20	28.9
17000	m	5	9.6
14000	m	4	7.68
57280	m	1	1.92
31500	m	1	1.92
三四千	m	6	10.27
三万	m	13	22.54
繁睿	nr2	1	1.92
第十五	m	9	16.07
八十六	m	1	1.92
仁心	nr2	6	8.35
1:12	m	71	36.56
25万	m	36	52.48
钟法	nr2	1	1.92
3500	m	73	67.11
宁桔	nr2	2	3.84
2022	m	5	9.6
5000万	m	15	23.21
80.07%	m	1	1.92
61.81%	m	1	1.92
58.90%	m	1	1.92
柏然	nr2	1	1.92
6886	m	1	1.92
26万	m	15	22.45
120万	m	20	35.97
20-30	m	3	5.76
一只只	m	3	5.76
柏龙	nr2	1	1.92
2200	m	21	32.27
11.8	m	1	1.92
笑书	nr2	1	1.92
瑛姑	nr2	1	1.92
靖蓉	nr2	1	1.92
言欢	nr2	1	1.92
铁辉	nr2	1	1.92
7500	m	23	24.86
第三十五	m	3	3.84
38593	m	1	1.92
32552	m	1	1.92
14亿	m	14	21.12
11.4亿	m	1	1.92
7.60%	m	7	13.44
重生	nr2	1	1.92
17万	m	17	27.21
1860万	m	1	1.92
1.5T	n	1	1.92
412万	m	1	1.92
113481	m	1	1.92
14145	m	1	1.92
2189	m	3	3.84
3914	m	1	1.92
5874	m	1	1.92
20.80%	m	2	3.84
73.60%	m	4	8.05
3万-4万	m	1	1.92
3.73	m	1	1.92
九百	m	1	1.92
727600	m	1	1.92
363800	m	1	1.92
李隽	nr2	7	13.44
继海	nr2	1	1.92
1373	m	1	1.92
海东	nr2	9	11.26
2.8万	m	7	13.81
44537	m	1	1.92
5271	m	1	1.92
1529	m	2	3.84
1452	m	1	1.92
1016	m	1	1.92
3100	m	3	5.76
中国消费者报	ntbj	5	7.68
中国妇女报	ntqg	1	1.92
4437万	m	2	3.84
49万	m	8	10.21
1462	m	1	1.92
1976.01--1978.09	m	1	1.92
双龙	nr2	1	1.92
1978.09--1981.08	m	1	1.92
1981.08--1984.06	m	1	1.92
1984.06--1985.07	m	1	1.92
1985.07--1990.08	m	1	1.92
1985.09	m	1	1.92
1988.04	m	1	1.92
1990.08--1992.04	m	1	1.92
1988.09--1991.07	m	1	1.92
1992.04--1994.11	m	1	1.92
1994.11--1997.11	m	1	1.92
1995.11	m	1	1.92
1996.04--1996.07	m	1	1.92
1993.07--1995.12	m	1	1.92
1997.11--2000.03	m	1	1.92
1997.09--1999.07	m	1	1.92
2000.03--2001.12	m	1	1.92
2001.09--2001.12	m	1	1.92
2001.12--2002.12	m	1	1.92
2001.09--2002.01	m	1	1.92
2002.12--2003.03	m	1	1.92
2003.03--2005.06	m	1	1.92
2005.03	m	1	1.92
2005.06--2007.01	m	1	1.92
2007.01--2009.04	m	1	1.92
2009.04--2011.02	m	1	1.92
2009.05	m	1	1.92
2011.02--2017.02	m	1	1.92
2011.03	m	1	1.92
2017.02--2017.03	m	1	1.92
2017.03--	m	1	1.92
2017.04	m	1	1.92
第41	m	6	11.52
思筠	nr2	1	1.92
巧思	nr2	1	1.92
盛伟	nr2	2	3.84
第五十六	m	3	5.76
300万	m	39	65.63
武堂	nr2	1	1.92
第二十一	m	2	3.84
36000	m	2	3.84
32.7	m	1	1.92
0-14	m	2	3.84
26.10%	m	1	1.92
15.20%	m	1	1.92
一列列	m	2	3.84
0.17	m	10	10.12
0.14	m	5	5.32
0.06	m	16	11.74
0.37	m	1	1.92
0.19	m	2	3.84
0.15	m	36	27.54
0.02	m	25	22.42
0.3	m	98	70.37
23.20%	m	1	1.92
15.10%	m	1	1.92
2.80%	m	8	16.1
0.60%	m	10	16.7
33.60%	m	1	1.92
53.80%	m	1	1.92
67.00%	m	1	1.92
3.20%	m	5	9.6
15.60%	m	5	7.94
24.70%	m	2	3.84
64.50%	m	1	1.92
51.00%	m	5	5.32
39.10%	m	1	1.92
33.20%	m	3	5.76
3.80%	m	7	14.18
10.90%	m	7	13.44
9.20%	m	4	5.76
1.10%	m	2	3.84
5.70%	m	1	1.92
12.00%	m	10	10.4
2013	m	13	14.28
栖公	nr2	1	1.92
4000cc	n	1	1.92
七八百	m	2	3.84
315996	m	1	1.92
5.15%	m	1	1.92
259188	m	1	1.92
14.70%	m	4	8.05
大洋网	ntgd	3	4.84
1.65	m	1	1.92
2:10	m	1	1.92
1200	m	67	98.61
1700	m	22	32.71
4500	m	33	51.11
16万	m	35	52.31
道仁	nr2	1	1.92
69.83	m	1	1.92
2018-2022	m	3	3.84
2018-2020	m	13	16.03
川茶	nr2	1	1.92
165亿	m	1	1.92
46万	m	7	13.81
22万	m	12	20.13
万亿	m	10	12.84
1500亿	m	1	1.92
5320	m	1	1.92
13331	m	1	1.92
1078	m	3	5.76
一幕幕	m	3	5.76
4393万	m	1	1.92
1867	m	1	1.92
1.6万	m	18	32.5
2402	m	1	1.92
67.26%	m	1	1.92
42732	m	1	1.92
985.93	m	1	1.92
1.3万	m	15	27.04
24万	m	10	14.05
1700万	m	3	5.76
万幸	nr2	4	5.76
2016	m	21	34
28630	m	1	1.92
6248	m	1	1.92
4670	m	1	1.92
2.122万	m	1	1.92
10720	m	1	1.92
11473.2	m	1	1.92
9980	m	1	1.92
3200	m	14	24.41
6800	m	8	12.13
1900	m	11	14.35
48万	m	3	5.76
4873	m	1	1.92
2400	m	15	26.68
协信	nr2	1	1.92
500000	m	1	1.92
0.01%	m	2	3.84
20.86%	m	1	1.92
3016	m	2	3.84
廿九	m	1	1.92
福洲	nr2	1	1.92
众恒	nr2	1	1.92
20%-30%	m	3	5.76
28亿-35亿	m	1	1.92
3.97亿	m	1	1.92
52亿	m	1	1.92
1530.10%	m	1	1.92
智航	nr2	1	1.92
35.8亿	m	1	1.92
38.2亿	m	1	1.92
1.35亿	m	4	5.76
2000亿	m	3	6.13
9801.48万	m	1	1.92
211.07万	m	1	1.92
2.20%	m	5	7.68
3700万	m	4	7.68
2042.95亿	m	1	1.92
160.81亿	m	1	1.92
8.54%	m	1	1.92
1290.08亿	m	1	1.92
79.46亿	m	1	1.92
6.56%	m	1	1.92
752.87亿	m	1	1.92
81.34亿	m	1	1.92
12.11%	m	1	1.92
63.15%	m	1	1.92
358258	m	1	1.92
一场场	m	5	9.97
子秀	nr2	1	1.92
甘肃电视台	ntts	2	1.92
189万	m	1	1.92
77.6万	m	1	1.92
9.60%	m	5	8.35
5.60%	m	9	15.62
8246.1亿	m	1	1.92
3.60%	m	2	3.84
6.60%	m	10	17.99
20.10%	m	1	1.92
13.60%	m	3	5.76
22.90%	m	1	1.92
1600	m	34	52.03
1650	m	4	6.43
世卫	nr2	10	11.18
2030	m	3	6.46
警校	nr2	1	1.92
第10	m	9	12.15
68万	m	5	8.35
45万	m	14	19.95
保育	b	9	3.14
短短	z	87	31.21
可观	a	19	12.68
流畅	a	12	9.03
恶心	a	5	3.11
乖巧	a	8	5.35
高尚	a	6	3.64
丰厚	a	6	4.72
锂	n	19	3.27
披	v	33	13.21
一阵	mq	54	24.18
赌	v	77	19.71
向仕花	nr	20	3.87
消	v	153	35.15
孔	nr1	25	9.42
2016年	t	623	149.52
丝	n	51	19.18
闷	v	24	11.44
纹	ng	24	6.45
mTL	n	10	1.77
辉煌	a	26	17.3
动荡	an	5	3.46
明亮	a	21	15.45
寂寞	a	17	11.73
淫秽	a	24	10.14
壮观	a	14	9.44
高超	a	13	9.19
精干	a	22	14.72
详尽	a	2	1.75
别致	a	5	3.64
湿润	a	8	7
高昂	a	10	7.28
荣幸	a	4	2.83
稳固	a	6	5.25
单调	a	4	3.5
充裕	a	4	3.5
有意思	al	23	15.09
强盛	an	2	1.75
简短	a	5	3.46
可笑	a	4	3.5
广袤	a	4	3.5
轰轰烈烈	al	4	3.5
稀缺	a	18	13.1
粗略	ad	4	3.5
繁琐	a	19	14.81
嘹亮	a	2	1.75
悠闲	a	6	4.58
悲伤	a	20	14.47
松弛	a	2	1.75
慌乱	a	2	1.75
别出心裁	al	5	4.7
清凉	a	5	3.64
低落	a	7	5.39
乏味	a	2	1.75
抱歉	a	11	7.08
矮小	a	2	1.75
亲昵	a	2	1.75
井井有条	al	2	1.75
渺茫	a	4	2.83
易燃	a	5	3.46
爽口	a	2	1.75
模糊不清	al	4	3.5
近视	a	86	33.93
受宠	an	2	1.75
松脆	a	2	1.75
正经	a	6	3.1
郁闷	a	2	1.75
沈	nr1	67	15.93
冒	v	110	36.86
童	ng	23	9.29
湖南	ns	241	22.43
齐心集团	nt	10	1.72
滴	v	243	36.62
栏	n	24	9.12
筹	v	84	17.52
韩	nr1	50	15.44
邓	nr1	50	9.56
缝	n	22	9.65
柜	ng	88	21.8
通俗	a	10	6.92
焦急	a	30	21.61
干燥	a	27	19.03
能干	a	3	1.71
繁盛	an	5	3.46
复	vg	30	8.14
刘振华	nr	40	17.24
龄	ng	31	12.98
销	v	130	29.67
毁	v	132	31.16
秋	ng	3	1.65
亏	v	23	9.5
程	n	99	25.52
揽	v	18	8.26
彩	ng	76	24.92
耕	v	74	21.5
耗	v	27	13.39
峰	ng	122	31.9
孕	ng	40	15.49
踹	v	16	6.2
鳄	ng	26	4.8
萧	nr1	3	1.65
脚下	f	35	14.44
软	a	136	17.25
伏	v	28	9.84
斌	n	8	3.33
system	n	1	1.6
mind	n	1	1.6
乡镇企业	n	2	3.2
earth	n	2	3.2
推向	v	34	47.46
science	n	3	4.8
破产	vi	47	53.51
health	n	1	1.6
所有制	n	13	19.01
主权	n	10	11.97
国会	n	1	1.6
审计	vn	68	74.94
丛书	n	4	6.4
问候	vn	16	23.95
协定	n	13	17.83
建设性	n	7	11.51
资本主义	n	4	5.35
公有制	n	2	3.2
joseph	nz	1	1.6
国民党	n	14	18.47
竣工	vi	34	47.44
武力	n	3	4.8
公报	n	24	18.13
david	nz	2	3.2
汉语	nz	46	52.94
啤酒	n	52	49.16
蒙古族	nz	7	8.89
问世	vi	16	23.88
月球	n	19	25.34
paul	nz	1	1.6
社长	n	16	19.65
引人注目	vl	15	21.9
消费品	n	32	38.07
入党	vn	20	25.68
martin	nz	1	1.6
批判	vn	5	8
谋求	v	13	19.88
煤矿	n	99	83.53
酝酿	v	8	11.79
剧目	n	21	24.7
限额	n	28	37.23
风雨	n	31	46.39
harry	nz	1	1.6
喜庆	vi	12	19.08
干群	n	3	4.8
中青年	n	19	22.83
取胜	vi	4	5.35
验收	v	90	110.5
党性	n	13	16.86
印刷	vn	30	39.36
表率	n	9	15.02
定点	n	98	69.24
厄尔尼诺	nz	12	12.87
理顺	v	12	19.82
美军	n	3	4.8
旧货	n	3	4.8
战斗力	n	8	12.55
争端	n	8	11.75
种族	n	11	12.44
闻名	v	15	22.77
大潮	n	16	25.91
驾驭	v	6	9.91
任用	vn	13	13.34
热水器	n	25	21.59
维吾尔族	nz	7	10.13
主业	n	21	33.46
党校	n	15	17.04
独立自主	vl	4	6.4
削弱	v	12	19.82
平民	n	4	6.4
检查组	n	15	15.1
召集	v	33	50.07
含义	n	35	36.03
伊斯兰	nz	1	1.6
认清	v	14	21.73
挑战赛	n	15	15.2
传说	n	35	52.47
sTEM	n	4	4.8
论断	vn	2	3.2
转折	vn	11	16.86
赞誉	vn	8	12.8
全镇	n	12	18.47
胸怀	n	9	13.35
腾飞	vn	20	28.1
抽调	v	57	74.37
原定	v	19	27.21
得失	n	6	9.76
缔结	v	8	10.36
合格率	n	21	20.56
首府	n	10	17.49
辜负	v	19	27.98
立项	vi	27	42.11
钟声	n	4	6.4
连锁	vn	47	50.53
省人大	n	5	8
前人	n	5	6.95
置身	v	14	20.37
包围	v	20	29.95
保住	v	32	47.2
编剧	n	13	19.73
暖湿气流	n	8	13.42
闻讯	vi	17	26.87
友情	n	9	14.71
无视	v	16	25.46
奔驰	vi	28	36.57
内需	n	9	11.3
生产者	n	10	16.31
标语	n	28	33.74
参观者	n	12	18.25
牧场	n	11	17.58
宣誓	vi	16	16
抛弃	v	18	30.66
电站	n	18	24.55
子孙后代	n	6	9.6
缺点	n	11	16.22
教员	n	6	9.91
尊敬	v	14	20.61
僵化	vn	5	6.99
水浒传	nz	7	6.4
起义	vn	5	8
面世	vi	6	9.6
例外	vi	25	25.77
新居	n	6	8.59
军方	n	1	1.6
转交	v	9	13.02
奶牛	n	19	21.1
工商联	n	11	16.71
列席	v	12	15.33
欢聚一堂	vl	3	3.75
考上	v	45	64.8
大王	n	25	24.57
素有	v	35	52.08
负责制	n	28	31.9
名言	n	3	4.8
内战	n	2	3.2
联产承包	nl	3	4.8
让步	vn	9	13.39
分房	vn	1	1.6
下令	v	8	13.11
月亮	n	47	46.2
推选	v	12	15.5
发展史	n	16	20.92
生平	n	6	9.6
大字	n	9	13.94
调剂	vn	46	49.28
责成	v	25	36.07
防御	vn	22	31.05
畜牧	n	32	38.71
错案	n	7	9.33
民主化	vn	2	3.2
任教	vi	33	45.43
心连心	vl	4	6.4
山川	n	14	21.86
考查	vn	11	16.11
劳动密集型	n	4	6.4
普遍性	n	8	12.8
分忧	vi	2	3.2
话费	n	8	12.96
聪明才智	nl	3	4.8
教育家	n	8	10.27
拜访	v	19	26.73
败坏	v	5	8
华裔	n	8	12.96
出版界	n	3	5.11
明珠	n	24	30.06
显露	v	9	14.71
行政村	n	34	43.94
配偶	n	32	41.56
任重道远	vl	10	15.75
创收	vi	18	28.35
党纪	n	26	36.4
驻足	vi	21	35.14
主要矛盾	nl	11	16.86
威望	n	5	8
票房	n	17	24.4
先进县	n	2	3.2
执纪	vn	27	38.86
电话费	n	2	3.2
刻画	v	8	13.42
归纳	v	11	18.22
毁坏	vn	22	29.09
古今中外	nl	3	3.2
弥漫	v	20	22.73
有毒	vi	51	50.11
博得	v	5	8
势在必行	vl	12	17.47
小分队	n	15	18.69
固体	n	50	35.44
家用电器	nl	11	17.17
俗话说	vl	7	11.2
用水	n	53	57.75
登门	vi	6	9.6
过关	vi	21	31.62
偏见	n	13	18.94
法令	n	4	6.4
鞠躬尽瘁	vl	1	1.6
独生子女	n	88	56.76
突飞猛进	vl	3	4.8
地区性	n	2	3.2
饱和	vi	17	19.16
欢度	v	3	4.8
书名	n	1	1.6
笔下	n	5	8
剥削	vn	20	23.46
亟待解决	vl	9	12.8
热泪	n	11	16.22
人代会	n	5	8
离任	vn	8	12.65
佩服	v	20	29.86
心里话	n	4	6.4
一揽子	nl	7	10.43
面粉	n	18	24.25
局限性	n	5	6.95
大堤	n	4	6.4
外语	n	28	35.25
宣传部长	n	6	8.55
硕果	n	2	3.2
商贩	n	11	17.91
结晶	n	8	11.79
乃是	v	3	4.8
出让	v	18	21.65
满意率	n	11	18.21
两极	n	5	8
税收收入	n	2	3.2
人世	n	9	11.42
做梦	vi	17	20.7
珍爱	v	15	13.14
说服力	n	5	8
市政协	n	14	19.29
村主任	n	11	16.98
污染源	n	69	71.23
穿行	vi	27	40.95
实话	n	7	11.51
蜡烛	n	7	8.77
穿着	v	46	66.27
合一	vi	75	53.89
掠过	v	4	6.4
铭记	v	25	38.64
着落	n	11	16.59
推销员	n	9	13.55
店主	n	25	36.19
良田	n	7	7.97
光芒	n	9	14.4
伊斯兰教	nz	3	4.8
军工	n	7	9.14
缘故	n	9	12.8
书屋	n	14	18.24
牙膏	n	5	6.95
药方	n	3	4.8
慕名	vi	18	25.75
建起	v	6	9.6
封存	vi	32	37.03
泄漏	vn	35	46.62
太太	n	14	19.11
下海	vi	7	11.2
